* Measurement data measured by REW V5.19
* Source: ?ó??? (Realtek High Definition Audio, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 2019-7-30 12:56:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: 七月 30 12:56:35
* Smoothing: 1/6 octave
* Frequency Step: 0.36621654 Hz
* Start Frequency: 1.8310547 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
280.156, 52.487, -18.129
280.522, 52.481, -18.124
280.888, 52.475, -18.118
281.254, 52.469, -18.112
281.620, 52.462, -18.107
281.987, 52.456, -18.101
282.353, 52.450, -18.095
282.719, 52.444, -18.089
283.085, 52.438, -18.083
283.452, 52.432, -18.077
283.818, 52.426, -18.071
284.184, 52.420, -18.064
284.550, 52.414, -18.058
284.916, 52.408, -18.052
285.283, 52.401, -18.045
285.649, 52.395, -18.039
286.015, 52.389, -18.032
286.381, 52.383, -18.025
286.748, 52.377, -18.019
287.114, 52.371, -18.012
287.480, 52.365, -18.005
287.846, 52.359, -17.998
288.212, 52.353, -17.991
288.579, 52.347, -17.984
288.945, 52.340, -17.977
289.311, 52.334, -17.970
289.677, 52.328, -17.962
290.043, 52.322, -17.955
290.410, 52.316, -17.948
290.776, 52.310, -17.940
291.142, 52.304, -17.933
291.508, 52.298, -17.925
291.875, 52.292, -17.918
292.241, 52.286, -17.910
292.607, 52.280, -17.903
292.973, 52.274, -17.895
293.339, 52.268, -17.887
293.706, 52.262, -17.879
294.072, 52.255, -17.872
294.438, 52.249, -17.864
294.804, 52.243, -17.856
295.171, 52.237, -17.848
295.537, 52.231, -17.840
295.903, 52.225, -17.832
296.269, 52.219, -17.824
296.635, 52.213, -17.815
297.002, 52.207, -17.807
297.368, 52.201, -17.799
297.734, 52.195, -17.791
298.100, 52.190, -17.782
298.466, 52.184, -17.774
298.833, 52.178, -17.766
299.199, 52.172, -17.757
